price(100k),area,bedrooms,bathrooms,stories,mainroad,guestroom,basement,hotwaterheating,airconditioning,parking,prefarea,furnishingstatus
133,7420,4,2,3,yes,no,no,no,yes,2,yes,furnished
122.5,8960,4,4,4,yes,no,no,no,yes,3,no,furnished
122.5,9960,3,2,2,yes,no,yes,no,no,2,yes,semi-furnished
122.15,7500,4,2,2,yes,no,yes,no,yes,3,yes,furnished
114.1,7420,4,1,2,yes,yes,yes,no,yes,2,no,furnished
108.5,7500,3,3,1,yes,no,yes,no,yes,2,yes,semi-furnished
101.5,8580,4,3,4,yes,no,no,no,yes,2,yes,semi-furnished
101.5,16200,5,3,2,yes,no,no,no,no,0,no,unfurnished
98.7,8100,4,1,2,yes,yes,yes,no,yes,2,yes,furnished
98,5750,3,2,4,yes,yes,no,no,yes,1,yes,unfurnished
98,13200,3,1,2,yes,no,yes,no,yes,2,yes,furnished
96.81,6000,4,3,2,yes,yes,yes,yes,no,2,no,semi-furnished
93.1,6550,4,2,2,yes,no,no,no,yes,1,yes,semi-furnished
92.4,3500,4,2,2,yes,no,no,yes,no,2,no,furnished
92.4,7800,3,2,2,yes,no,no,no,no,0,yes,semi-furnished
91,6000,4,1,2,yes,no,yes,no,no,2,no,semi-furnished
91,6600,4,2,2,yes,yes,yes,no,yes,1,yes,unfurnished
89.6,8500,3,2,4,yes,no,no,no,yes,2,no,furnished
88.9,4600,3,2,2,yes,yes,no,no,yes,2,no,furnished
88.55,6420,3,2,2,yes,no,no,no,yes,1,yes,semi-furnished
87.5,4320,3,1,2,yes,no,yes,yes,no,2,no,semi-furnished
86.8,7155,3,2,1,yes,yes,yes,no,yes,2,no,unfurnished
86.45,8050,3,1,1,yes,yes,yes,no,yes,1,no,furnished
86.45,4560,3,2,2,yes,yes,yes,no,yes,1,no,furnished
85.75,8800,3,2,2,yes,no,no,no,yes,2,no,furnished
85.4,6540,4,2,2,yes,yes,yes,no,yes,2,yes,furnished
84.63,6000,3,2,4,yes,yes,yes,no,yes,0,yes,semi-furnished
84,8875,3,1,1,yes,no,no,no,no,1,no,semi-furnished
84,7950,5,2,2,yes,no,yes,yes,no,2,no,unfurnished
84,5500,4,2,2,yes,no,yes,no,yes,1,yes,semi-furnished
84,7475,3,2,4,yes,no,no,no,yes,2,no,unfurnished
84,7000,3,1,4,yes,no,no,no,yes,2,no,semi-furnished
82.95,4880,4,2,2,yes,no,no,no,yes,1,yes,furnished
81.9,5960,3,3,2,yes,yes,yes,no,no,1,no,unfurnished
81.2,6840,5,1,2,yes,yes,yes,no,yes,1,no,furnished
80.8094,7000,3,2,4,yes,no,no,no,yes,2,no,furnished
80.43,7482,3,2,3,yes,no,no,yes,no,1,yes,furnished
79.8,9000,4,2,4,yes,no,no,no,yes,2,no,furnished
79.625,6000,3,1,4,yes,yes,no,no,yes,2,no,unfurnished
79.1,6000,4,2,4,yes,no,no,no,yes,1,no,semi-furnished
78.75,6550,3,1,2,yes,no,yes,no,yes,0,yes,furnished
78.4,6360,3,2,4,yes,no,no,no,yes,0,yes,furnished
77,6480,3,2,4,yes,no,no,no,yes,2,no,unfurnished
77,6000,4,2,4,yes,no,no,no,no,2,no,semi-furnished
75.6,6000,4,2,4,yes,no,no,no,yes,1,no,furnished
75.6,6000,3,2,3,yes,no,no,no,yes,0,no,semi-furnished
75.25,6000,3,2,4,yes,no,no,no,yes,1,no,furnished
74.9,6600,3,1,4,yes,no,no,no,yes,3,yes,furnished
74.55,4300,3,2,2,yes,no,yes,no,no,1,no,unfurnished
74.2,7440,3,2,1,yes,yes,yes,no,yes,0,yes,semi-furnished
74.2,7440,3,2,4,yes,no,no,no,no,1,yes,unfurnished
74.2,6325,3,1,4,yes,no,no,no,yes,1,no,unfurnished
73.5,6000,4,2,4,yes,yes,no,no,yes,1,no,furnished
73.5,5150,3,2,4,yes,no,no,no,yes,2,no,semi-furnished
73.5,6000,3,2,2,yes,yes,no,no,yes,1,no,semi-furnished
73.5,6000,3,1,2,yes,no,no,no,yes,1,no,unfurnished
73.43,11440,4,1,2,yes,no,yes,no,no,1,yes,semi-furnished
72.45,9000,4,2,4,yes,yes,no,no,yes,1,yes,furnished
72.1,7680,4,2,4,yes,yes,no,no,yes,1,no,semi-furnished
72.1,6000,3,2,4,yes,yes,no,no,yes,1,no,furnished
71.4,6000,3,2,2,yes,yes,no,no,no,1,no,semi-furnished
70.7,8880,2,1,1,yes,no,no,no,yes,1,no,semi-furnished
70.7,6240,4,2,2,yes,no,no,no,yes,1,no,furnished
70.35,6360,4,2,3,yes,no,no,no,yes,2,yes,furnished
70,11175,3,1,1,yes,no,yes,no,yes,1,yes,furnished
69.3,8880,3,2,2,yes,no,yes,no,yes,1,no,furnished
69.3,13200,2,1,1,yes,no,yes,yes,no,1,no,furnished
68.95,7700,3,2,1,yes,no,no,no,no,2,no,unfurnished
68.6,6000,3,1,1,yes,no,no,no,yes,1,no,furnished
67.9,12090,4,2,2,yes,no,no,no,no,2,yes,furnished
67.9,4000,3,2,2,yes,no,yes,no,yes,0,yes,semi-furnished
67.55,6000,4,2,4,yes,no,no,no,yes,0,no,unfurnished
67.2,5020,3,1,4,yes,no,no,no,yes,0,yes,unfurnished
66.85,6600,2,2,4,yes,no,yes,no,no,0,yes,furnished
66.5,4040,3,1,2,yes,no,yes,yes,no,1,no,furnished
66.5,4260,4,2,2,yes,no,no,yes,no,0,no,semi-furnished
66.5,6420,3,2,3,yes,no,no,no,yes,0,yes,furnished
66.5,6500,3,2,3,yes,no,no,no,yes,0,yes,furnished
66.5,5700,3,1,1,yes,yes,yes,no,yes,2,yes,furnished
66.5,6000,3,2,3,yes,yes,no,no,yes,0,no,furnished
66.29,6000,3,1,2,yes,no,no,yes,no,1,yes,semi-furnished
66.15,4000,3,2,2,yes,no,yes,no,yes,1,no,semi-furnished
66.15,10500,3,2,1,yes,no,yes,no,yes,1,yes,furnished
65.8,6000,3,2,4,yes,no,no,no,yes,0,no,semi-furnished
65.1,3760,3,1,2,yes,no,no,yes,no,2,no,semi-furnished
65.1,8250,3,2,3,yes,no,no,no,yes,0,no,furnished
65.1,6670,3,1,3,yes,no,yes,no,no,0,yes,unfurnished
64.75,3960,3,1,1,yes,no,yes,no,no,2,no,semi-furnished
64.75,7410,3,1,1,yes,yes,yes,no,yes,2,yes,unfurnished
64.4,8580,5,3,2,yes,no,no,no,no,2,no,furnished
64.4,5000,3,1,2,yes,no,no,no,yes,0,no,semi-furnished
64.19,6750,2,1,1,yes,yes,yes,no,no,2,yes,furnished
64.05,4800,3,2,4,yes,yes,no,no,yes,0,no,furnished
63,7200,3,2,1,yes,no,yes,no,yes,3,no,semi-furnished
63,6000,4,2,4,yes,no,no,no,no,1,no,semi-furnished
